Team,No,Position,Player,Date_of_Birth,Age,Caps,Goals,Club
Haiti,,FW,Lenny Joseph,"October 12, 2000",25,0,0,Ferencváros
Morocco,,GK,Yassine Bounou,"April 5, 1991",35,89,0,Al-Hilal
Morocco,,GK,Munir Mohamedi,"May 10, 1989",37,51,0,RS Berkane
Morocco,,GK,Ahmed Reda Tagnaouti,"April 5, 1996",30,3,0,AS FAR
Morocco,,DF,Achraf Hakimi (captain),"November 4, 1998",27,95,11,Paris Saint-Germain
Morocco,,DF,Nayef Aguerd,"March 30, 1996",30,64,2,Marseille
Morocco,,DF,Noussair Mazraoui,"November 14, 1997",28,43,2,Manchester United
Morocco,,DF,Youssef Belammari,"September 20, 1998",27,16,0,Al Ahly
Morocco,,DF,Anass Salah-Eddine,"January 18, 2002",24,8,0,PSV Eindhoven
Morocco,,DF,Chadi Riad,"June 17, 2003",22,4,1,Crystal Palace
Morocco,,DF,Issa Diop,"January 9, 1997",29,2,0,Fulham
Morocco,,DF,Zakaria El Ouahdi,"December 31, 2001",24,2,0,Genk
Morocco,,DF,Redouane Halhal,"March 5, 2003",23,1,0,Mechelen
Morocco,,MF,Sofyan Amrabat,"August 21, 1996",29,73,0,Real Betis
Morocco,,MF,Azzedine Ounahi,"April 19, 2000",26,47,9,Girona
Morocco,,MF,Bilal El Khannouss,"May 10, 2004",22,35,3,VfB Stuttgart
Morocco,,MF,Ismael Saibari,"January 28, 2001",25,28,7,PSV Eindhoven
Morocco,,MF,Neil El Aynaoui,"July 2, 2001",24,15,2,Roma
Morocco,,MF,Samir El Mourabet,"August 6, 2006",19,2,0,Strasbourg
Morocco,,MF,Ayyoub Bouaddi,"October 2, 2007",18,1,0,Lille
Morocco,,FW,Ayoub El Kaabi,"June 25, 1993",32,57,22,Olympiacos
Morocco,,FW,Soufiane Rahimi,"June 2, 1996",30,35,11,Al-Ain
Morocco,,FW,Abde Ezzalzouli,"December 17, 2001",24,35,2,Real Betis
Morocco,,FW,Brahim Díaz,"August 3, 1999",26,24,13,Real Madrid
Morocco,,FW,Chemsdine Talbi,"May 9, 2005",21,5,0,Sunderland
Morocco,,FW,Gessime Yassine,"November 22, 2005",20,3,0,Strasbourg
Morocco,,FW,Ayoube Amaimouni,"November 30, 2004",21,0,0,Eintracht Frankfurt
Scotland,,GK,Craig Gordon,"December 31, 1982",43,84,0,Heart of Midlothian
Scotland,,GK,Angus Gunn,"January 22, 1996",30,21,0,Nottingham Forest
Scotland,,GK,Liam Kelly,"January 23, 1996",30,3,0,Rangers
Scotland,,DF,Andy Robertson (captain),"March 11, 1994",32,93,4,Liverpool
Scotland,,DF,Grant Hanley,"November 20, 1991",34,67,2,Hibernian
Scotland,,DF,Kieran Tierney,"June 5, 1997",29,55,2,Celtic
Scotland,,DF,Scott McKenna,"November 12, 1996",29,50,1,Dinamo Zagreb
Scotland,,DF,Jack Hendry,"May 7, 1995",31,37,3,Al-Ettifaq
Scotland,,DF,Nathan Patterson,"October 16, 2001",24,26,1,Everton
Scotland,,DF,Anthony Ralston,"November 16, 1998",27,26,1,Celtic
Scotland,,DF,John Souttar,"September 25, 1996",29,23,2,Rangers
Scotland,,DF,Aaron Hickey,"June 10, 2002",24,20,0,Brentford
Scotland,,DF,Dominic Hyam,"December 20, 1995",30,3,0,Wrexham
Scotland,,MF,John McGinn,"October 18, 1994",31,85,20,Aston Villa
Scotland,,MF,Scott McTominay,"December 8, 1996",29,69,14,Napoli
Scotland,,MF,Ryan Christie,"February 22, 1995",31,67,10,Bournemouth
Scotland,,MF,Kenny McLean,"January 8, 1992",34,57,3,Norwich City
Scotland,,MF,Lewis Ferguson,"August 24, 1999",26,23,1,Bologna
Scotland,,MF,Ben Gannon-Doak,"November 11, 2005",20,13,1,Bournemouth
Scotland,,MF,Findlay Curtis,"June 9, 2006",20,2,1,Kilmarnock
Scotland,,MF,Tyler Fletcher,"March 19, 2007",19,1,0,Manchester United
Scotland,,FW,Lyndon Dykes,"October 7, 1995",30,51,10,Charlton Athletic
Scotland,,FW,Ché Adams,"July 13, 1996",29,46,11,Torino
Scotland,,FW,Lawrence Shankland,"August 10, 1995",30,19,6,Heart of Midlothian
Scotland,,FW,George Hirst,"February 15, 1999",27,9,1,Ipswich Town
Scotland,,FW,Ross Stewart,"July 11, 1996",29,2,0,Southampton
Australia,1,GK,Mathew Ryan (captain),"April 8, 1992",34,104,0,Levante
Australia,2,DF,Miloš Degenek,"April 28, 1994",32,56,1,APOEL
Australia,3,DF,Alessandro Circati,"October 10, 2003",22,12,1,Parma
Australia,4,DF,Jacob Italiano,"July 30, 2001",24,4,0,GAK
Australia,5,DF,Jordan Bos,"October 29, 2002",23,26,4,Feyenoord
Australia,6,DF,Jason Geria,"May 10, 1993",33,13,0,Albirex Niigata
Australia,7,FW,Mathew Leckie,"February 4, 1991",35,79,14,Melbourne City
Australia,8,MF,Connor Metcalfe,"November 5, 1999",26,35,1,FC St. Pauli
Australia,9,FW,Mohamed Touré,"March 26, 2004",22,9,2,Norwich City
Australia,10,MF,Ajdin Hrustic,"July 5, 1996",29,37,4,Heracles Almelo
Australia,11,FW,Awer Mabil,"September 15, 1995",30,38,10,Castellón
Australia,12,GK,Paul Izzo,"January 6, 1995",31,4,0,Randers
Australia,13,MF,Aiden O'Neill,"July 4, 1998",27,30,0,New York City FC
Australia,14,MF,Cammy Devlin,"June 7, 1998",28,4,0,Heart of Midlothian
Australia,15,DF,Kai Trewin,"May 18, 2001",25,5,0,New York City FC
Australia,16,DF,Aziz Behich,"December 16, 1990",35,83,3,Melbourne City
Australia,17,FW,Nestory Irankunda,"February 9, 2006",20,14,5,Watford
Australia,18,GK,Patrick Beach,"August 6, 2003",22,1,0,Melbourne City
Australia,19,DF,Harry Souttar,"October 22, 1998",27,37,11,Leicester City
Australia,20,FW,Cristian Volpato,"November 15, 2003",22,0,0,Sassuolo
Australia,21,DF,Cameron Burgess,"October 21, 1995",30,26,0,Swansea City
Australia,22,MF,Jackson Irvine,"March 7, 1993",33,81,14,FC St. Pauli
Australia,23,FW,Nishan Velupillay,"May 7, 2001",25,7,3,Melbourne Victory
Australia,24,MF,Paul Okon-Engstler,"January 24, 2005",21,5,0,Sydney FC
Australia,25,DF,Lucas Herrington,"July 5, 2007",18,3,0,Colorado Rapids
Australia,26,FW,Tete Yengi,"November 22, 2000",25,0,0,Machida Zelvia
Paraguay,,GK,Gatito Fernández,"March 29, 1988",38,30,0,Cerro Porteño
Paraguay,,GK,Orlando Gill,"June 11, 2000",26,5,0,San Lorenzo
Paraguay,,GK,Gastón Olveira,"April 21, 1993",33,1,0,Olimpia
Paraguay,,DF,Gustavo Gómez (captain),"May 6, 1993",33,88,4,Palmeiras
Paraguay,,DF,Júnior Alonso,"February 9, 1993",33,70,3,Atlético Mineiro
Paraguay,,DF,Fabián Balbuena,"August 23, 1991",34,47,2,Grêmio
Paraguay,,DF,Omar Alderete,"December 26, 1996",29,35,3,Sunderland
Paraguay,,DF,Juan José Cáceres,"June 1, 2000",26,16,0,Dynamo Moscow
Paraguay,,DF,Gustavo Velázquez,"April 17, 1991",35,12,1,Cerro Porteño
Paraguay,,DF,José Canale,"July 20, 1996",29,1,0,Lanús
Paraguay,,DF,Alexandro Maidana,"July 26, 2005",20,1,0,Talleres
Paraguay,,MF,Miguel Almirón,"February 10, 1994",32,75,9,Atlanta United FC
Paraguay,,MF,Kaku,"January 11, 1995",31,32,5,Al-Ain
Paraguay,,MF,Andrés Cubas,"May 22, 1996",30,32,0,Vancouver Whitecaps FC
Paraguay,,MF,Ramón Sosa,"August 31, 1999",26,28,1,Palmeiras
Paraguay,,MF,Diego Gómez,"March 27, 2003",23,23,3,Brighton & Hove Albion
Paraguay,,MF,Damián Bobadilla,"July 11, 2001",24,19,1,São Paulo
Paraguay,,MF,Braian Ojeda,"July 27, 2000",25,16,0,Orlando City SC
Paraguay,,MF,Matías Galarza,"February 11, 2002",24,14,2,Atlanta United FC
Paraguay,,MF,Maurício,"June 22, 2001",24,2,0,Palmeiras
Paraguay,,FW,Antonio Sanabria,"March 4, 1996",30,47,7,Cremonese
Paraguay,,FW,Julio Enciso,"January 23, 2004",22,31,4,Strasbourg
Paraguay,,FW,Gabriel Ávalos,"July 9, 1991",34,22,2,Independiente
Paraguay,,FW,Álex Arce,"June 16, 1995",30,14,1,Independiente Rivadavia
Paraguay,,FW,Isidro Pitta,"August 14, 1999",26,5,0,Red Bull Bragantino
Paraguay,,FW,Gustavo Caballero,"September 21, 2001",24,2,1,Portsmouth
United States,1,GK,Matt Turner,"June 24, 1994",31,54,0,New England Revolution
United States,2,DF,Sergiño Dest,"November 3, 2000",25,38,3,PSV Eindhoven
United States,3,DF,Chris Richards,"March 28, 2000",26,36,3,Crystal Palace
United States,4,MF,Tyler Adams,"February 14, 1999",27,53,2,Bournemouth
United States,5,DF,Antonee Robinson,"August 8, 1997",28,53,4,Fulham
United States,6,DF,Auston Trusty,"August 12, 1998",27,7,0,Celtic
United States,7,MF,Giovanni Reyna,"November 13, 2002",23,37,9,Borussia Mönchengladbach
United States,8,MF,Weston McKennie,"August 28, 1998",27,65,12,Juventus
United States,9,FW,Ricardo Pepi,"January 9, 2003",23,36,13,PSV Eindhoven
United States,10,FW,Christian Pulisic,"September 18, 1998",27,85,33,Milan
United States,11,FW,Brenden Aaronson,"October 22, 2000",25,57,9,Leeds United
United States,12,DF,Miles Robinson,"March 14, 1997",29,39,3,FC Cincinnati
United States,13,DF,Tim Ream (captain),"October 5, 1987",38,81,1,Charlotte FC
United States,14,MF,Sebastian Berhalter,"May 10, 2001",25,12,1,Vancouver Whitecaps FC
United States,15,MF,Cristian Roldan,"June 3, 1995",31,46,0,Seattle Sounders FC
United States,16,DF,Alex Freeman,"August 9, 2004",21,16,2,Villarreal
United States,17,MF,Malik Tillman,"May 28, 2002",24,29,3,Bayer Leverkusen
United States,18,DF,Maximilian Arfsten,"April 19, 2001",25,19,1,Columbus Crew
United States,19,FW,Haji Wright,"March 27, 1998",28,20,7,Coventry City
United States,20,FW,Folarin Balogun,"July 3, 2001",24,26,9,Monaco
United States,21,FW,Timothy Weah,"February 22, 2000",26,50,7,Marseille
United States,22,DF,Mark McKenzie,"February 25, 1999",27,28,0,Toulouse
United States,23,DF,Joe Scally,"December 31, 2002",23,25,0,Borussia Mönchengladbach
United States,24,GK,Matt Freese,"September 2, 1998",27,14,0,New York City FC
United States,25,GK,Chris Brady,"March 3, 2004",22,1,0,Chicago Fire FC
United States,26,FW,Alejandro Zendejas,"February 7, 1998",28,14,2,América
Curaçao,1,GK,Eloy Room,"February 6, 1989",37,71,0,Miami FC
Curaçao,2,DF,Shurandy Sambo,"August 19, 2001",24,7,0,Sparta Rotterdam
Curaçao,3,DF,Juriën Gaari,"December 23, 1993",32,59,1,Abha
Curaçao,4,DF,Roshon van Eijma,"June 9, 1998",28,27,1,RKC Waalwijk
Curaçao,5,DF,Sherel Floranus,"August 23, 1998",27,27,0,PEC Zwolle
Curaçao,6,MF,Godfried Roemeratoe,"August 19, 1999",26,27,1,RKC Waalwijk
Curaçao,7,MF,Juninho Bacuna,"August 7, 1997",28,48,14,Volendam
Curaçao,8,MF,Livano Comenencia,"February 3, 2004",22,19,1,Zürich
Curaçao,9,FW,Jürgen Locadia,"November 7, 1993",32,13,1,Miami FC
Curaçao,10,MF,Leandro Bacuna (captain),"August 21, 1991",34,71,16,Iğdır
Curaçao,11,FW,Jeremy Antonisse,"March 29, 2002",24,26,3,Kifisia
Curaçao,12,FW,Sontje Hansen,"May 18, 2002",24,5,1,Middlesbrough
Curaçao,13,MF,Tyrese Noslin,"September 11, 2002",23,6,1,Telstar
Curaçao,14,FW,Kenji Gorré,"September 29, 1994",31,37,6,Maccabi Haifa
Curaçao,15,MF,Ar'jany Martha,"September 4, 2003",22,8,2,Rotherham United
Curaçao,16,FW,Jearl Margaritha,"April 10, 2000",26,21,5,Beveren
Curaçao,17,FW,Brandley Kuwas,"September 19, 1992",33,34,2,Volendam
Curaçao,18,DF,Armando Obispo,"March 5, 1999",27,5,0,PSV Eindhoven
Curaçao,19,FW,Gervane Kastaneer,"June 9, 1996",30,28,9,Terengganu
Curaçao,20,DF,Joshua Brenet,"March 20, 1994",32,17,1,Kayserispor
Curaçao,21,FW,Tahith Chong,"December 4, 1999",26,5,3,Sheffield United
Curaçao,22,MF,Kevin Felida,"November 11, 1999",26,19,1,Den Bosch
Curaçao,23,DF,Riechedly Bazoer,"October 12, 1996",29,4,0,Konyaspor
Curaçao,24,DF,Deveron Fonville,"May 16, 2003",23,1,0,NEC
Curaçao,25,GK,Tyrick Bodak,"May 15, 2002",24,4,0,Telstar
Curaçao,26,GK,Trevor Doornbusch,"July 6, 1999",26,7,0,VVV-Venlo
Ecuador,1,GK,Hernán Galíndez,"March 30, 1987",39,34,0,Huracán
Ecuador,2,DF,Félix Torres,"January 11, 1997",29,48,5,Internacional
Ecuador,3,DF,Piero Hincapié,"January 9, 2002",24,51,3,Arsenal
Ecuador,4,DF,Joel Ordóñez,"April 21, 2004",22,16,0,Club Brugge
Ecuador,5,MF,Jordy Alcívar,"August 5, 1999",26,10,1,Independiente del Valle
Ecuador,6,DF,Willian Pacho,"October 16, 2001",24,34,2,Paris Saint-Germain
Ecuador,7,DF,Pervis Estupiñán,"January 21, 1998",28,53,4,Milan
Ecuador,8,MF,Denil Castillo,"March 24, 2004",22,5,0,Midtjylland
Ecuador,9,MF,John Yeboah,"June 23, 2000",25,22,3,Venezia
Ecuador,10,MF,Kendry Páez,"May 4, 2007",19,25,2,River Plate
Ecuador,11,FW,Kevin Rodríguez,"March 4, 2000",26,31,2,Union Saint-Gilloise
Ecuador,12,GK,Moisés Ramírez,"September 9, 2000",25,7,0,Kifisia
Ecuador,13,FW,Enner Valencia (captain),"November 4, 1989",36,105,49,Pachuca
Ecuador,14,MF,Alan Minda,"May 14, 2003",23,19,2,Atlético Mineiro
Ecuador,15,MF,Pedro Vite,"March 9, 2002",24,16,1,UNAM
Ecuador,16,FW,Anthony Valencia,"July 21, 2003",22,2,1,Antwerp
Ecuador,17,DF,Ángelo Preciado,"February 18, 1998",28,54,0,Atlético Mineiro
Ecuador,18,FW,Jordy Caicedo,"November 18, 1997",28,19,3,Huracán
Ecuador,19,MF,Gonzalo Plata,"November 1, 2000",25,49,8,Flamengo
Ecuador,20,FW,Nilson Angulo,"June 19, 2003",22,13,1,Sunderland
Ecuador,21,MF,Alan Franco,"August 21, 1998",27,57,1,Atlético Mineiro
Ecuador,22,GK,Gonzalo Valle,"February 28, 1996",30,3,0,LDU Quito
Ecuador,23,MF,Moisés Caicedo,"November 2, 2001",24,60,3,Chelsea
Ecuador,24,MF,Yaimar Medina,"November 5, 2004",21,5,0,Genk
Ecuador,25,DF,Jackson Porozo,"August 4, 2000",25,9,1,Tijuana
Ecuador,26,FW,Jeremy Arévalo,"March 19, 2005",21,3,0,VfB Stuttgart
Germany,1,GK,Manuel Neuer,"March 27, 1986",40,124,0,Bayern Munich
Germany,2,DF,Antonio Rüdiger,"March 3, 1993",33,82,3,Real Madrid
Germany,3,DF,Waldemar Anton,"July 20, 1996",29,12,0,Borussia Dortmund
Germany,4,DF,Jonathan Tah,"February 11, 1996",30,46,1,Bayern Munich
Germany,5,MF,Aleksandar Pavlović,"May 3, 2004",22,10,1,Bayern Munich
Germany,6,MF,Joshua Kimmich (captain),"February 8, 1995",31,109,11,Bayern Munich
Germany,7,FW,Kai Havertz,"June 11, 1999",27,57,21,Arsenal
Germany,8,MF,Leon Goretzka,"February 6, 1995",31,69,15,Bayern Munich
Germany,9,MF,Jamie Leweling,"February 26, 2001",25,4,1,VfB Stuttgart
Germany,10,MF,Jamal Musiala,"February 26, 2003",23,41,9,Bayern Munich
Germany,11,FW,Nick Woltemade,"February 14, 2002",24,11,4,Newcastle United
Germany,12,GK,Oliver Baumann,"June 2, 1990",36,12,0,TSG Hoffenheim
Germany,13,MF,Pascal Groß,"June 15, 1991",34,18,1,Brighton & Hove Albion
Germany,14,FW,Maximilian Beier,"October 17, 2002",23,8,0,Borussia Dortmund
Germany,15,DF,Nico Schlotterbeck,"December 1, 1999",26,26,0,Borussia Dortmund
Germany,16,MF,Angelo Stiller,"April 4, 2001",25,7,0,VfB Stuttgart
Germany,17,MF,Florian Wirtz,"May 3, 2003",23,40,11,Liverpool
Germany,18,DF,Nathaniel Brown,"June 16, 2003",22,4,0,Eintracht Frankfurt
Germany,19,MF,Leroy Sané,"January 11, 1996",30,75,16,Galatasaray
Germany,20,MF,Nadiem Amiri,"October 27, 1996",29,10,1,Mainz 05
Germany,21,GK,Alexander Nübel,"September 30, 1996",29,3,0,VfB Stuttgart
Germany,22,DF,David Raum,"April 22, 1998",28,36,1,RB Leipzig
Germany,23,MF,Felix Nmecha,"October 10, 2000",25,7,1,Borussia Dortmund
Germany,24,DF,Malick Thiaw,"August 8, 2001",24,5,0,Newcastle United
Germany,25,MF,Lennart Karl,"February 22, 2008",18,3,0,Bayern Munich
Germany,26,FW,Deniz Undav,"July 19, 1996",29,8,6,VfB Stuttgart
Ivory Coast,,GK,Yahia Fofana,"August 21, 2000",25,34,0,Çaykur Rizespor
Ivory Coast,,GK,Alban Lafont,"January 23, 1999",27,4,0,Panathinaikos
Ivory Coast,,GK,Mohamed Koné,"March 7, 2002",24,0,0,Charleroi
Ivory Coast,,DF,Ghislain Konan,"December 27, 1995",30,53,0,Gil Vicente
Ivory Coast,,DF,Odilon Kossounou,"January 4, 2001",25,35,0,Atalanta
Ivory Coast,,DF,Wilfried Singo,"December 25, 2000",25,33,1,Galatasaray
Ivory Coast,,DF,Evan Ndicka,"August 20, 1999",26,28,0,Roma
Ivory Coast,,DF,Emmanuel Agbadou,"June 7, 1997",29,19,2,Beşiktaş
Ivory Coast,,DF,Guéla Doué,"October 17, 2002",23,19,2,Strasbourg
Ivory Coast,,DF,Ousmane Diomande,"December 4, 2003",22,14,1,Sporting CP
Ivory Coast,,DF,Christopher Opéri,"April 29, 1997",29,11,0,İstanbul Başakşehir
Ivory Coast,,MF,Franck Kessié (captain),"December 19, 1996",29,102,15,Al-Ahli
Ivory Coast,,MF,Jean Michaël Seri,"July 19, 1991",34,65,4,Maribor
Ivory Coast,,MF,Ibrahim Sangaré,"December 2, 1997",28,57,12,Nottingham Forest
Ivory Coast,,MF,Seko Fofana,"May 7, 1995",31,31,7,Porto
Ivory Coast,,MF,Christ Inao Oulaï,"April 6, 2006",20,8,0,Trabzonspor
Ivory Coast,,MF,Parfait Guiagon,"February 22, 2001",25,5,0,Charleroi
Ivory Coast,,FW,Nicolas Pépé,"May 29, 1995",31,54,12,Villarreal
Ivory Coast,,FW,Oumar Diakité,"December 20, 2003",22,28,6,Cercle Brugge
Ivory Coast,,FW,Simon Adingra,"January 1, 2002",24,28,5,Monaco
Ivory Coast,,FW,Evann Guessand,"July 1, 2001",24,21,4,Crystal Palace
Ivory Coast,,FW,Amad Diallo,"July 11, 2002",23,18,5,Manchester United
Ivory Coast,,FW,Yan Diomande,"November 14, 2006",19,9,3,RB Leipzig
Ivory Coast,,FW,Bazoumana Touré,"March 2, 2006",20,5,2,TSG Hoffenheim
Ivory Coast,,FW,Elye Wahi,"January 2, 2003",23,1,0,Nice
Ivory Coast,,FW,Ange-Yoan Bonny,"October 25, 2003",22,0,0,Inter Milan
Japan,1,GK,Zion Suzuki,"August 21, 2002",23,24,0,Parma
Japan,2,DF,Yukinari Sugawara,"June 28, 2000",25,21,2,Werder Bremen
Japan,3,DF,Shōgo Taniguchi,"July 15, 1991",34,38,1,Sint-Truiden
Japan,4,DF,Kō Itakura,"January 27, 1997",29,40,2,Ajax
Japan,5,DF,Yūto Nagatomo,"September 12, 1986",39,145,4,FC Tokyo
Japan,6,MF,Wataru Endo (captain),"February 9, 1993",33,73,4,Liverpool
Japan,7,MF,Ao Tanaka,"September 10, 1998",27,38,8,Leeds United
Japan,8,MF,Takefusa Kubo,"June 4, 2001",25,49,7,Real Sociedad
Japan,9,FW,Keisuke Gotō,"June 3, 2005",21,4,0,Sint-Truiden
Japan,10,MF,Ritsu Dōan,"June 16, 1998",27,65,11,Eintracht Frankfurt
Japan,11,FW,Daizen Maeda,"October 20, 1997",28,27,4,Celtic
Japan,12,GK,Keisuke Ōsako,"July 28, 1999",26,11,0,Sanfrecce Hiroshima
Japan,13,MF,Keito Nakamura,"July 28, 2000",25,25,10,Reims
Japan,14,MF,Junya Itō,"March 9, 1993",33,69,15,Genk
Japan,15,MF,Daichi Kamada,"August 5, 1996",29,49,12,Crystal Palace
Japan,16,DF,Tsuyoshi Watanabe,"February 5, 1997",29,11,0,Feyenoord
Japan,17,FW,Yuito Suzuki,"October 25, 2001",24,6,0,SC Freiburg
Japan,18,FW,Ayase Ueda,"August 28, 1998",27,39,16,Feyenoord
Japan,19,FW,Kōki Ogawa,"August 8, 1997",28,15,11,NEC
Japan,20,DF,Ayumu Seko,"June 7, 2000",26,14,0,Le Havre
Japan,21,DF,Hiroki Itō,"May 12, 1999",27,24,1,Bayern Munich
Japan,22,DF,Takehiro Tomiyasu,"November 5, 1998",27,43,1,Ajax
Japan,23,GK,Tomoki Hayakawa,"March 3, 1999",27,4,0,Kashima Antlers
Japan,24,MF,Kaishū Sano,"December 30, 2000",25,13,0,Mainz 05
Japan,25,DF,Junnosuke Suzuki,"July 12, 2003",22,6,0,Copenhagen
Japan,26,FW,Kento Shiogai,"March 26, 2005",21,2,0,VfL Wolfsburg
Netherlands,,GK,Bart Verbruggen,"August 18, 2002",23,27,0,Brighton & Hove Albion
Netherlands,,GK,Mark Flekken,"June 13, 1993",32,11,0,Bayer Leverkusen
Netherlands,,GK,Robin Roefs,"January 17, 2003",23,0,0,Sunderland
Netherlands,,DF,Virgil van Dijk (captain),"July 8, 1991",34,90,12,Liverpool
